merchant_id,day,txn_count,txn_volume,avg_txn_value,refund_rate,dispute_rate,category_entropy,geo_entropy,dominant_category,dominant_geo,true_drift,true_drift_any,drift_kind,archetype
M0001,0,94,47798.51,508.49,0.062307291386292145,0.00685085558397899,1.3398,1.4409,apparel,jaipur,0,0,none,normal
M0001,1,108,61438.86,568.88,0.07379554924570601,0.009179724087944428,1.4936,1.3264,apparel,jaipur,0,0,none,normal
M0001,2,92,55288.81,600.97,0.08133876947934504,0.0070674704720502576,1.4383,1.2623,apparel,jaipur,0,0,none,normal
M0001,3,108,59657.55,552.38,0.06804034966330642,0.006151233884709262,1.1478,1.4589,apparel,jaipur,0,0,none,normal
M0001,4,103,56001.75,543.71,0.0815713201199112,0.005223520762092973,1.3332,1.4226,apparel,jaipur,0,0,none,normal
M0001,5,98,53998.48,551.0,0.0678292493289336,0.009209637061605332,1.1872,1.2648,apparel,jaipur,0,0,none,normal
M0001,6,95,53379.26,561.89,0.06991470099278449,0.005570507082730829,1.3094,1.2321,apparel,jaipur,0,0,none,normal
M0001,7,86,51420.48,597.91,0.07187087152995733,0.006496062497611529,1.3586,1.2611,apparel,jaipur,0,0,none,normal
M0001,8,106,53881.89,508.32,0.06560290240660291,0.005559981273469006,1.3006,1.4608,apparel,jaipur,0,0,none,normal
M0001,9,104,53629.75,515.67,0.06900804623012886,0.007952032477089258,1.251,1.5699,apparel,jaipur,0,0,none,normal
M0001,10,103,58767.08,570.55,0.07776739160001202,0.007493050269415799,1.2004,1.3486,apparel,jaipur,0,0,none,normal
M0001,11,97,57443.39,592.2,0.07363048641484973,0.008649111121910932,1.3328,1.4089,apparel,jaipur,0,0,none,normal
M0001,12,113,63098.53,558.39,0.0719206162424565,0.008154796611102537,1.3671,1.4388,apparel,jaipur,0,0,none,normal
M0001,13,96,61059.07,636.03,0.062157158980838706,0.007019657831544027,1.0504,1.5584,apparel,jaipur,0,0,none,normal
M0001,14,105,57111.05,543.91,0.0724305235568623,0.00580239907316904,1.3588,1.6133,apparel,jaipur,0,0,none,normal
M0001,15,94,56059.19,596.37,0.06567276290061298,0.006048511672550828,1.2273,1.3778,apparel,jaipur,0,0,none,normal
M0001,16,100,56372.06,563.72,0.07665354328505843,0.008269639661564916,1.3672,1.116,apparel,jaipur,0,0,none,normal
M0001,17,104,56564.96,543.89,0.06398307510022501,0.007320337303882849,1.0748,1.5344,apparel,jaipur,0,0,none,normal
